conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
a,10,f,ethiopian,ethiopia,yes,5,paid,both,a lot,strongly agree,strongly agree,agree,private,ayertena,15-30,middle child,2,diamond,eth-lang,yes,8,authoritative,0,none,4.25,94.86,94.58,88.45,84.41,88.52,76.38,85.93,95,82.01,98.28,95.48,89,,,89.4,,,,,,,,middleschool
b,12,m,ethiopian,ethiopia,no,5,scholarship,both,little,strongly agree,strongly agree,agree,public,haile garment,15-30,first child,0,southwest,eth-lang,yes,10,authoritative,0,none,4,74.12,77.39,81.86,80.98,76.9,74.92,70.32,94.75,74.16,89.84,96.15,91.75,,,81.9,,,,,,,,middleschool
a,10,m,ethiopian,ethiopia,yes,5,paid,both,a lot,agree,strongly agree,strongly agree,private,sarbet,15-,last child,3,greek school,eth-lang,yes,9,authoritative,1,physical,4.25,80.12,86.58,95.04,74.69,95.52,84.33,81.42,93.75,85.45,91.61,94.39,91.75,,,87.9,,,,,,,,middleschool
c,11,m,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,gulele,15-30,last child,2,gibson,eth-lang,no,8,authoritative,0,none,4.5,82.67,91.68,89.64,86.7,87.81,90.63,81.14,82.5,80.86,81.91,93.89,81,,,85.9,,,,,,,,middleschool
b,11,f,ethiopian,foriegn_soil,no,5,paid,mother,a lot,strongly agree,strongly agree,somehow agree,private,meskel flower,15-30,middle child,2,school of nations,for-lang,yes,11.5,authoritative,0,none,4,96.31,96.99,97.6,92.09,98.62,96,89.07,99.75,94.73,98.77,88.69,97.75,,,95.5,,,,,,,,middleschool
a,11,f,ethiopian,ethiopia,no,5,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,torhailoch,15-30,middle child,3,neps,eth-lang,yes,9,authoritative,0,none,4,75.35,91.35,92.86,98,88.45,75.63,81.39,95.25,83.93,87.67,93.54,98.75,,,88.5,,,,,,,,middleschool
a,11,f,ethiopian,foriegn_soil,yes,5,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,kality,30-60,middle child,3,potomac,for-lang,yes,10,authoritative,0,none,4.5,77.81,90.75,84.31,93.67,85.14,77.25,82.17,98,62.62,97.97,93.36,99.5,,,86.9,,,,,,,,middleschool
a,11,f,ethiopian,ethiopia,yes,5,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,german square,15-30,middle child,3,neps,eth-lang,yes,7,authoritative,0,none,4.5,73.27,96.32,99.43,98,92,84.88,85.45,96.5,94.13,98.21,99.14,96,,,92.8,,,,,,,,middleschool
b,10,m,ethiopian,ethiopia,no,5,paid,both,little,strongly agree,somehow agree,disagree,service,bethel,30-60,middle child,2,neps,eth-lang,no,8,permissive,1,physcological,3,63.12,84.57,87.31,72.93,71.11,63.29,54.71,82.75,38.07,72.91,86.79,88.25,,,72.2,,,,,,,,middleschool
a,11,f,ethiopian,ethiopia,yes,5,paid,both,a lot,agree,strongly agree,strongly agree,private,gerji,30-60,first child,2,cambridge,eth-lang,yes,8,authoritative,0,none,4.25,70.98,93.89,95.23,85.43,89.75,64.96,80.09,98,76.24,93.21,80.37,93.25,,,85.1,,,,,,,,middleschool
